"","ts_low_bd","ts_hi_bd","p_val","mn_phs","fao"
"1",2,20,0.000999000999000999,1.73324030812715,"ANW"
"2",2,20,0.000999000999000999,0.778295691556071,"ANW"
"3",2,20,0.001998001998002,-2.91966714803711,"ANW"
"4",2,20,0.003996003996004,0.278080775486133,"ANW"
"5",2,20,0.000999000999000999,1.0446601651641,"ANW"
"6",2,20,0.000999000999000999,-1.53282892013574,"ANW"
"7",2,20,0.00699300699300699,1.96292363164552,"ANW"
"8",2,20,0.000999000999000999,-0.192792109346771,"ANW"
"9",2,20,0.000999000999000999,-3.08149606560148,"ANW"
"10",2,20,0.000999000999000999,-0.546463895321009,"ANW"
"11",2,20,0.000999000999000999,2.45110939709841,"ANW"
"12",2,20,0.002997002997003,-2.41923488172251,"ANW"
"13",2,20,0.003996003996004,-0.0200476234216122,"ANW"
"14",2,20,0.004995004995005,0.500725246478805,"ANW"
"15",2,20,0.000999000999000999,-0.303496898624204,"ANW"
"16",2,20,0.003996003996004,-0.443318741712515,"ANW"
"17",2,20,0.003996003996004,0.0317842168293408,"ANW"
"18",2,20,0.001998001998002,-0.959254935086474,"ANW"
"19",2,20,0.000999000999000999,2.3481623636618,"ANW"
"20",2,20,0.003996003996004,-0.663329045658067,"ANW"
"21",2,20,0.000999000999000999,0.862939744628308,"ANW"
"22",2,20,0.00599400599400599,1.25883891307447,"ANW"
"23",2,20,0.000999000999000999,-0.309064643859809,"ANW"
"24",2,20,0.002997002997003,0.492495500057092,"ANW"
"25",2,20,0.001998001998002,0.00375254599977647,"ANW"
"26",2,20,0.000999000999000999,0.387118676310736,"ANE"
"27",2,20,0.000999000999000999,-0.252963069048381,"ANE"
"28",2,20,0.000999000999000999,0.804971103907148,"ANE"
"29",2,20,0.001998001998002,-0.118942390898856,"ANE"
"30",2,20,0.000999000999000999,-0.580882991408926,"ANE"
"31",2,20,0.000999000999000999,-2.06217261632685,"ANE"
"32",2,20,0.000999000999000999,0.0258310870846842,"ANE"
"33",2,20,0.000999000999000999,-2.77362347450597,"ANE"
"34",2,20,0.000999000999000999,0.929271686561606,"ANE"
"35",2,20,0.000999000999000999,-1.82481555507687,"ANE"
"36",2,20,0.000999000999000999,-2.70869534927421,"ANE"
"37",2,20,0.002997002997003,2.30094336214726,"ANE"
"38",2,20,0.000999000999000999,2.41794105945484,"ANE"
"39",2,20,0.000999000999000999,-1.30604593995886,"ANE"
"40",2,20,0.000999000999000999,2.02486636667911,"ANE"
"41",2,20,0.000999000999000999,-3.06495659763583,"ANE"
"42",2,20,0.000999000999000999,-2.6327442203317,"ANE"
"43",2,20,0.000999000999000999,-0.469279593941206,"ANE"
"44",2,20,0.000999000999000999,3.11973306879025,"ANE"
"45",2,20,0.000999000999000999,-1.15206287601274,"ANE"
"46",2,20,0.000999000999000999,0.508461013292289,"ANE"
"47",2,20,0.000999000999000999,0.365623939558777,"ANE"
"48",2,20,0.003996003996004,0.224439747271892,"ANE"
"49",2,20,0.000999000999000999,1.14788509413945,"ANE"
"50",2,20,0.001998001998002,-0.423673745968428,"ANE"
"51",2,20,0.000999000999000999,-1.47961228133324,"ANE"
"52",2,20,0.002997002997003,-0.0204877230588969,"ANE"
"53",2,20,0.000999000999000999,-1.52501850072483,"ANE"
"54",2,20,0.000999000999000999,0.848940514257096,"ANE"
"55",2,20,0.003996003996004,2.8176551046726,"ANE"
"56",2,20,0.00799200799200799,-2.4382483296019,"ANE"
"57",2,20,0.000999000999000999,0.169309437256431,"ANE"
"58",2,20,0.001998001998002,-2.96922834644832,"ANE"
"59",2,20,0.002997002997003,-1.61388847455955,"ANE"
"60",2,20,0.00699300699300699,2.88471666024907,"ANE"
"61",2,20,0.001998001998002,1.17434049468426,"ANE"
"62",2,20,0.000999000999000999,0.556331567818279,"ANE"
"63",2,20,0.000999000999000999,-1.48422656123916,"ANE"
"64",2,20,0.001998001998002,0.239014563293709,"ANE"
"65",2,20,0.003996003996004,0.577880017443383,"ANE"
"66",2,20,0.000999000999000999,-0.678134007293338,"ANE"
"67",2,20,0.003996003996004,2.27130899955635,"ANE"
"68",2,20,0.001998001998002,-3.10244364270907,"ANE"
"69",2,20,0.000999000999000999,3.1348274947503,"ANE"
"70",2,20,0.003996003996004,-1.37726511694469,"ANE"
"71",2,20,0.00799200799200799,0.14624962238761,"ANE"
"72",2,20,0.001998001998002,0.0289190514480075,"ANE"
"73",2,20,0.00599400599400599,-0.242408178302839,"ANE"
"74",2,20,0.000999000999000999,1.67395408736053,"ANE"
"75",2,20,0.001998001998002,-3.09756287089608,"ANE"
"76",2,20,0.001998001998002,1.17983766531176,"ANE"
"77",2,20,0.003996003996004,-0.231304378517045,"ANE"
"78",2,20,0.000999000999000999,2.69260479207438,"ANE"
"79",2,20,0.002997002997003,-2.99165167702142,"ANE"
"80",2,20,0.000999000999000999,2.90389284118081,"ANE"
"81",2,20,0.000999000999000999,-1.5027911867079,"ANE"
"82",2,20,0.003996003996004,2.91995659405528,"ANE"
"83",2,20,0.000999000999000999,0.566162779275333,"ANE"
"84",2,20,0.001998001998002,-2.62897096490416,"ANE"
"85",2,20,0.000999000999000999,-2.15305073081163,"ANE"
"86",2,20,0.000999000999000999,0.74605110847865,"ANE"
"87",2,20,0.000999000999000999,-0.51871220148888,"ANE"
"88",2,20,0.000999000999000999,0.735788010952441,"ANE"
"89",2,20,0.000999000999000999,-1.09565434742392,"AWC"
"90",2,20,0.001998001998002,-0.439283170373833,"AWC"
"91",2,20,0.000999000999000999,-0.209249125254275,"AWC"
